protocolSection_identificationModule_nctId,protocolSection_identificationModule_briefTitle,protocolSection_statusModule_overallStatus,protocolSection_statusModule_startDateStruct_date,protocolSection_statusModule_studyFirstPostDateStruct_date,protocolSection_sponsorCollaboratorsModule_leadSponsor_name,protocolSection_sponsorCollaboratorsModule_leadSponsor_class,protocolSection_conditionsModule_conditions_0,protocolSection_designModule_studyType,protocolSection_eligibilityModule_sex,protocolSection_eligibilityModule_minimumAge,protocolSection_eligibilityModule_stdAges_0,protocolSection_contactsLocationsModule_locations_0_city,protocolSection_contactsLocationsModule_locations_0_country,hasResults,protocolSection_armsInterventionsModule_interventions_0_name
NCT02326129,Novel Biomarker for Development of T2D,COMPLETED,2015-02,2014-12-25,Duke University,OTHER,Diabetes Type II,OBSERVATIONAL,ALL,12 Years,CHILD,Baton Rouge,United States,False,
NCT01713764,A Pilot Study of the Effects of Diet and Behavioral Interventions on Health in Diabetics,COMPLETED,2012-10,2012-10-25,"University of California, San Francisco",OTHER,Diabetes Type II,INTERVENTIONAL,ALL,18 Years,ADULT,San Francisco,United States,False,Low Carbohydrate Diet
NCT01121315,A Retrospective Study of Cardiovascular Events Related to the Use of Glucose Lowering Drug Treatment in Primary Care,COMPLETED,2010-05,2010-05-12,AstraZeneca,INDUSTRY,Diabetes Type II,OBSERVATIONAL,ALL,,CHILD,Uppsala,Sweden,False,
NCT04011904,The Role of Traditional or Western Diet in the TBC1D4 Gene on Glucose Homeostasis in Greenland Inuits,COMPLETED,2019-04-15,2019-07-09,University of Copenhagen,OTHER,T2D,INTERVENTIONAL,ALL,18 Years,ADULT,Copenhagen,Denmark,False,Cross-over study
NCT05767372,Effect of Coherent Breathing on Elderly Quality of Life,COMPLETED,2023-03-01,2023-03-14,Cairo University,OTHER,Stable Diabetes Mellitus,INTERVENTIONAL,ALL,60 Years,ADULT,Cairo,Egypt,False,Coherent Breathing Exercise
NCT03194152,Peanut Consumption and Cardiovascular Disease Risk in a Chinese Population,COMPLETED,2017-10-24,2017-06-21,Harvard School of Public Health (HSPH),OTHER,T2D,INTERVENTIONAL,ALL,20 Years,ADULT,Shanghai,China,False,Peanut
NCT04790526,Dose Response of Eccentric Exercise on Glycemic Control in Type II Diabetes Mellitus,COMPLETED,2021-07-12,2021-03-10,Riphah International University,OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,45 Years,ADULT,Lahore,Pakistan,False,Eccentric Exercises Dose
NCT02446054,A Study to Evaluate the Effect of Musashino Diabetes Diet in Type II Diabetes Mellitus Disease,COMPLETED,2014-02,2015-05-15,Celio Technology Inc.,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,30 Years,ADULT,Taipei,Taiwan,False,Musashino T2DM diet
NCT04665284,Safety And Efficacy Of Empagliflozin In Pakistani Muslim Population With Type Ii Diabetes Mellitus,COMPLETED,2019-06-01,2020-12-11,Getz Pharma,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Quetta,Pakistan,False,Empagliflozin
NCT05252728,"Altered Faecal Microbiome and Metabolome in CT1D, AT1D and T2D",COMPLETED,2019-02-01,2022-02-23,Second Xiangya Hospital of Central South University,OTHER,Type 1 Diabetes Mellitus Maturity Onset,OBSERVATIONAL,ALL,5 Years,CHILD,Changsha,China,False,
NCT01868646,Clinical Trial of Efficacy and Safety of Subetta in the Combined Treatment of Patients With Type II Diabetes Mellitus,COMPLETED,2013-05-07,2013-06-04,Materia Medica Holding,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Moscow region,Russian Federation,True,Subetta
NCT02879383,Effect of Duodenal Mucosal Resurfacing (DMR) Using the Revita System in the Treatment of Type 2 Diabetes (T2D),COMPLETED,2017-03-01,2016-08-25,Fractyl Health Inc.,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,28 Years,ADULT,Brussels,Belgium,True,DMR Procedure
NCT00960791,"Study to Assess the Absorption, Distribution, Metabolism and Excretion of AZD1656 in Type 2 Diabetes Mellitus (T2DM)",COMPLETED,2009-07,2009-08-18,AstraZeneca,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,MALE,35 Years,ADULT,San Diego,United States,False,AZD1656
NCT02091193,Effects of Krill Oil on Endothelial Function in Patients With Type 2 Diabetes Mellitus,COMPLETED,2012-03,2014-03-19,Danbury Hospital,OTHER,Type II Diabetes Mellitus,OBSERVATIONAL,ALL,18 Years,ADULT,Danbury,United States,False,Krill Oil (Supplement A)
NCT02805361,Real World Assessment of Clinical Outcome Changes -Including Month of Ramadan-for Dapagliflozin in Management of Type II Diabetes Mellitus,COMPLETED,2016-08-21,2016-06-20,AstraZeneca,INDUSTRY,Type II Diabetes Mellitus,OBSERVATIONAL,ALL,18 Years,ADULT,Kuwait City,Kuwait,False,
NCT03047486,Smartguard Use in Real Life : a Longitudinal Study in Patients With Type 1 Diabetes,COMPLETED,2017-02-01,2017-02-09,"University Hospital, Caen",OTHER,Type 1 Diabetes Mellitus Maturity Onset,OBSERVATIONAL,ALL,18 Years,ADULT,Caen,France,False,
NCT06645418,Relative Hand Grip Strength and Functional Fitness in Diabetic Patient in Egypt,COMPLETED,2023-10-15,2024-10-16,Beni-Suef University,OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,65 Years,OLDER_ADULT,Cairo,Egypt,False,relative Hand grip strength
NCT01252524,Effect of Calcium Polycarbophil on Type II Diabetes Mellitus Control: a Randomized Double-blind Study,COMPLETED,2010-10,2010-12-03,East Carolina University,OTHER,Diabetes Mellitus Type II,INTERVENTIONAL,ALL,18 Years,ADULT,Greenville,United States,False,Placebo
