Title,Sponsor,Sponsor_Class,Conditions,Study_Type,Sex,Age_Category,City,Country,Results,Interventions,min_age,start_date_day,start_date_month,start_date_year,first_post_date_day,first_post_date_month,first_post_year
A Pilot Study of the Effects of Diet and Behavioral Interventions on Health in Diabetics,"University of California, San Francisco",OTHER,Diabetes Type II,INTERVENTIONAL,ALL,ADULT,San Francisco,United States,Passed,Low Carbohydrate Diet,18,1,10,2012,25,10,2012
The Role of Traditional or Western Diet in the TBC1D4 Gene on Glucose Homeostasis in Greenland Inuits,University of Copenhagen,OTHER,T2D,INTERVENTIONAL,ALL,ADULT,Copenhagen,Denmark,Passed,Cross-over study,18,15,4,2019,9,7,2019
Effect of Coherent Breathing on Elderly Quality of Life,Cairo University,OTHER,Stable Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Cairo,Egypt,Passed,Coherent Breathing Exercise,60,1,3,2023,14,3,2023
Peanut Consumption and Cardiovascular Disease Risk in a Chinese Population,Harvard School of Public Health (HSPH),OTHER,T2D,INTERVENTIONAL,ALL,ADULT,Shanghai,China,Passed,Peanut,20,24,10,2017,21,6,2017
Dose Response of Eccentric Exercise on Glycemic Control in Type II Diabetes Mellitus,Riphah International University,OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Lahore,Pakistan,Passed,Eccentric Exercises Dose,45,12,7,2021,10,3,2021
A Study to Evaluate the Effect of Musashino Diabetes Diet in Type II Diabetes Mellitus Disease,Celio Technology Inc.,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Taipei,Taiwan,Passed,Musashino T2DM diet,30,1,2,2014,15,5,2015
Safety And Efficacy Of Empagliflozin In Pakistani Muslim Population With Type Ii Diabetes Mellitus,Getz Pharma,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Quetta,Pakistan,Passed,Empagliflozin,18,1,6,2019,11,12,2020
Clinical Trial of Efficacy and Safety of Subetta in the Combined Treatment of Patients With Type II Diabetes Mellitus,Materia Medica Holding,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Moscow region,Russian Federation,Failed,Subetta,18,7,5,2013,4,6,2013
Effect of Duodenal Mucosal Resurfacing (DMR) Using the Revita System in the Treatment of Type 2 Diabetes (T2D),Fractyl Health Inc.,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Brussels,Belgium,Failed,DMR Procedure,28,1,3,2017,25,8,2016
"Study to Assess the Absorption, Distribution, Metabolism and Excretion of AZD1656 in Type 2 Diabetes Mellitus (T2DM)",AstraZeneca,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,MALE,ADULT,San Diego,United States,Passed,AZD1656,35,1,7,2009,18,8,2009
