protocolSection_identificationModule_nctId,protocolSection_identificationModule_briefTitle,protocolSection_statusModule_overallStatus,protocolSection_sponsorCollaboratorsModule_leadSponsor_name,protocolSection_sponsorCollaboratorsModule_leadSponsor_class,protocolSection_conditionsModule_conditions_0,protocolSection_designModule_studyType,protocolSection_eligibilityModule_sex,protocolSection_eligibilityModule_stdAges_0,protocolSection_contactsLocationsModule_locations_0_city,protocolSection_contactsLocationsModule_locations_0_country,hasResults,protocolSection_armsInterventionsModule_interventions_0_name,min_age,start_date_day,start_date_month,start_date_year,first_post_date_day,first_post_date_month,first_post_year
NCT01713764,A Pilot Study of the Effects of Diet and Behavioral Interventions on Health in Diabetics,COMPLETED,"University of California, San Francisco",OTHER,Diabetes Type II,INTERVENTIONAL,ALL,ADULT,San Francisco,United States,False,Low Carbohydrate Diet,18,1,10,2012,25,10,2012
NCT04011904,The Role of Traditional or Western Diet in the TBC1D4 Gene on Glucose Homeostasis in Greenland Inuits,COMPLETED,University of Copenhagen,OTHER,T2D,INTERVENTIONAL,ALL,ADULT,Copenhagen,Denmark,False,Cross-over study,18,15,4,2019,9,7,2019
NCT05767372,Effect of Coherent Breathing on Elderly Quality of Life,COMPLETED,Cairo University,OTHER,Stable Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Cairo,Egypt,False,Coherent Breathing Exercise,60,1,3,2023,14,3,2023
NCT03194152,Peanut Consumption and Cardiovascular Disease Risk in a Chinese Population,COMPLETED,Harvard School of Public Health (HSPH),OTHER,T2D,INTERVENTIONAL,ALL,ADULT,Shanghai,China,False,Peanut,20,24,10,2017,21,6,2017
NCT04790526,Dose Response of Eccentric Exercise on Glycemic Control in Type II Diabetes Mellitus,COMPLETED,Riphah International University,OTHER,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Lahore,Pakistan,False,Eccentric Exercises Dose,45,12,7,2021,10,3,2021
NCT02446054,A Study to Evaluate the Effect of Musashino Diabetes Diet in Type II Diabetes Mellitus Disease,COMPLETED,Celio Technology Inc.,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Taipei,Taiwan,False,Musashino T2DM diet,30,1,2,2014,15,5,2015
NCT04665284,Safety And Efficacy Of Empagliflozin In Pakistani Muslim Population With Type Ii Diabetes Mellitus,COMPLETED,Getz Pharma,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Quetta,Pakistan,False,Empagliflozin,18,1,6,2019,11,12,2020
NCT01868646,Clinical Trial of Efficacy and Safety of Subetta in the Combined Treatment of Patients With Type II Diabetes Mellitus,COMPLETED,Materia Medica Holding,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Moscow region,Russian Federation,True,Subetta,18,7,5,2013,4,6,2013
NCT02879383,Effect of Duodenal Mucosal Resurfacing (DMR) Using the Revita System in the Treatment of Type 2 Diabetes (T2D),COMPLETED,Fractyl Health Inc.,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Brussels,Belgium,True,DMR Procedure,28,1,3,2017,25,8,2016
NCT00960791,"Study to Assess the Absorption, Distribution, Metabolism and Excretion of AZD1656 in Type 2 Diabetes Mellitus (T2DM)",COMPLETED,AstraZeneca,INDUSTRY,Type II Diabetes Mellitus,INTERVENTIONAL,MALE,ADULT,San Diego,United States,False,AZD1656,35,1,7,2009,18,8,2009
